input,taxid,taxon,tax_rank,tax_division,parentid,parentname,specimenrecords,representitive_image.image,representitive_image.apectratio,taxonrep
Brada villosa,190347,Brada villosa,species,Animalia,190346,Brada,21,KBPOL/11BIOAK-1494+1306210838.JPG,1.499,Brada villosa
Branchiomaldane,807529,Branchiomaldane,genus,Animalia,101154,Arenicolidae,8,BHAK/dHAK_00875+1500921342.JPG,1.509,NA
Branchiomma,100803,Branchiomma,genus,Animalia,100787,Sabellinae,207,POLNB/ZMBN_98261+1417191026.JPG,1.502,Branchiomma
Branchiostoma californiense,1075756,Branchiostoma californiense,species,Animalia,4916,Branchiostoma,2,NA,NA,NA
Branchiosyllis exilis,153166,Branchiosyllis exilis,species,Animalia,153165,Branchiosyllis,2,NA,NA,NA
Brania,808507,Brania,genus,Animalia,125418,Syllidae,2,KBPOL/11bioak-1158+1308251868.jpg,1.336,Brania
Brisaster,81353,Brisaster,genus,Animalia,79269,Schizasteridae,33,DSPEC/Bamfield_08_394+1224350232.jpg,1.105,Brisaster
Brisaster townsendi,293164,Brisaster townsendi,species,Animalia,81353,Brisaster,4,LACSA/DNA_trawl_invert_Brisaster_townsendi__T0-137_plate_1_cell_F9Lighter+1288208394.jpg,1.333,Brisaster townsendi
Brissopsis,80610,Brissopsis,genus,Animalia,560445,Brissopsinae,70,MIWAE/UMBergen_MBOWA_miwa164_1+1375199872.JPG,1.499,Brissopsis
Brissopsis pacifica,893616,Brissopsis pacifica,species,Animalia,80610,Brissopsis,2,"DISA/4011_2017_02_02_13_56_03_[B,Radius8,Smoothing4]+1486072574.jpg",1.499,Brissopsis pacifica
Bruzelia tuberculata,597892,Bruzelia tuberculata,species,Animalia,597891,Bruzelia,1,AMPNB/UMB_NB_amph155+1391008518.jpg,1.331,Bruzelia tuberculata
Bugula neritina,31585,Bugula neritina,species,Animalia,31582,Bugula,277,DISA/7012_img_011+1522453400.jpg,1.499,Bugula neritina
Bulla gouldiana,33125,Bulla gouldiana,species,Animalia,4572,Bulla,18,ARIT/IMG_9552+1595216838.jpg,0.75,Bulla gouldiana
Byblis millsi,370393,Byblis millsi,species,Animalia,4689,Byblis,2,CMBIA/00111Byblis_millsiVRRWScale+1321990424.jpg,1.333,Byblis millsi
Byblis veleronis,299399,Byblis veleronis,species,Animalia,4689,Byblis,1,CMBIA/IMGP7958Corr+1282151908.jpg,1.478,Byblis veleronis
Caecognathia,299409,Caecognathia,genus,Animalia,84138,Gnathiidae,23,CMBIA/IMGP7975Corr+1282248446.jpg,1.939,Caecognathia
Caecognathia crenulatifrons,299410,Caecognathia crenulatifrons,species,Animalia,299409,Caecognathia,13,CMBIA/IMGP7975Corr+1282248446.jpg,1.939,Caecognathia crenulatifrons
Caecum crebricinctum,978660,Caecum crebricinctum,species,Animalia,148875,Caecum,6,BHAK/dHAKB_00717a+1582145991.jpg,2.019,Caecum crebricinctum
Californiconus californicus,786509,Californiconus californicus,species,Animalia,786508,Californiconus,28,DISA/3910_DISCO3910_dor_8.5Xmagnification_2017_08_22+1503442522.jpg,1.783,Californiconus californicus
Callianax,499228,Callianax,genus,Animalia,387498,Olivellinae,20,NA,NA,NA
Callibaetis,5681,Callibaetis,genus,Animalia,155786,Baetinae,438,ECEPH/10bgmay-0080+1270058486.JPG,1.333,Callibaetis
Calliostoma,149482,Calliostoma,genus,Animalia,484163,Calliostomatinae,332,AKMOL/11BIOAK-0738b+1320082110.JPG,1.441,Calliostoma
Calliostoma variegatum,722696,Calliostoma variegatum,species,Animalia,149482,Calliostoma,2,RBCMI/DSC_2409+1443647075.JPG,1.499,Calliostoma variegatum
Callithaca tenerrima,955424,Callithaca tenerrima,species,Animalia,955423,Callithaca,3,NA,NA,NA
Calocarides,4939,Calocarides,genus,Animalia,1503,Axiidae,9,SWEMA/GNM7462_228Crust19080V+1429803872.JPG,1.499,NA
Calyptogena,701707,Calyptogena,genus,Bacteria,162906,Gammaproteobacteria,1,NA,NA,NA
Calyptogena,2344,Calyptogena,genus,Animalia,950301,Pliocardiinae,232,RBCMI/IMG_0603+1396631494.JPG,1.413,Calyptogena
Calyptraea fastigiata,808599,Calyptraea fastigiata,species,Animalia,6196,Calyptraea,2,FHL/BMBM-0365+1522880308.JPG,1.143,Calyptraea fastigiata
Campylaspis,5678,Campylaspis,genus,Animalia,1684,Nannastacidae,116,CUMNB/UMBergen_NB_cuma195+1392393032.jpg,1.331,Campylaspis
Cancellaria crawfordiana,293178,Cancellaria crawfordiana,species,Animalia,1958,Cancellaria,1,LACSA/DNA_trawl_invert_Cancellaria_crawfordiana_T0-305_plate_1_cell_H4Lev+1284581356.jpg,1.333,Cancellaria crawfordiana
Cancer,5094,Cancer,genus,Animalia,1521,Cancridae,307,RBCMI/IMG_8228+1401974128.JPG,1.499,Cancer
Cancer productus,15841,Cancer productus,species,Animalia,5094,Cancer,91,NJCGS/IMG_7601b+1297961784.JPG,1.499,Cancer productus
Capitella capitata,299355,Capitella capitata,species,Animalia,190326,Capitella,82,ATCPO/HMSC174_00253+1691064979.jpg,1.333,Capitella capitata
Caprella,4737,Caprella,genus,Animalia,263338,Caprellinae,2039,NJCGS/10biobc-0910+1291909134.jpg,1.325,Caprella
Caprella alaskana,940162,Caprella alaskana,species,Animalia,4737,Caprella,8,BHAK/dHAKB_01694a+1646090892.jpg,1.168,Caprella alaskana
Caprella californica,649919,Caprella californica,species,Animalia,4737,Caprella,55,BHAK/dHAKB_00188a+1582145905.jpg,1.829,Caprella californica
Caprella mendax,299411,Caprella mendax,species,Animalia,4737,Caprella,7,CMBIA/IMGP7979+1280250176.jpg,1.507,Caprella mendax
Caprella simia,649920,Caprella simia,species,Animalia,4737,Caprella,15,NA,NA,NA
Caprella verrucosa,386290,Caprella verrucosa,species,Animalia,4737,Caprella,11,NJCGS/10biobc-0910+1291909134.jpg,1.325,Caprella verrucosa
Cardiomya,194400,Cardiomya,genus,Animalia,712,Cuspidariidae,20,BHAK/11_06116a+1669421898.jpg,1.14,NA
Cardiomya pectinata,808191,Cardiomya pectinata,species,Animalia,194400,Cardiomya,7,BHAK/11_06116a+1669421898.jpg,1.14,Cardiomya pectinata
Carinoma mutabilis,25875,Carinoma mutabilis,species,Animalia,25873,Carinoma,14,POIMB/dOIMB_00529a+1565349972.jpg,2.068,Carinoma mutabilis
Carinomella lactea,1122134,Carinomella lactea,species,Animalia,1122133,Carinomella,3,NA,NA,NA
Carpoapseudes,527989,Carpoapseudes,genus,Animalia,300398,Apseudidae,33,NA,NA,NA
Caryocorbula,901340,Caryocorbula,genus,Animalia,636,Corbulidae,1,NA,NA,NA
Caulleriella,776860,Caulleriella,genus,Animalia,83730,Cirratulidae,46,ATCPO/HMSC174_00254+1691065105.jpg,1.333,Caulleriella
Caulleriella pacifica,955682,Caulleriella pacifica,species,Animalia,776860,Caulleriella,5,BBPS/dFHL_12732a+1581557302.jpg,1.088,Caulleriella pacifica
Cephalophoxoides homilis,499253,Cephalophoxoides homilis,species,Animalia,499252,Cephalophoxoides,1,CMBIA/00628Cephalophoxoides_homilisVRR+1351801174.jpg,1.333,Cephalophoxoides homilis
Ceratocephale loveni,264648,Ceratocephale loveni,species,Animalia,264647,Ceratocephale,36,SKAG/NTNU-VM-TB347+1340076150.jpg,1.333,Ceratocephale loveni
Cerebratulus,25888,Cerebratulus,genus,Animalia,1819,Lineidae,248,POIMB/dOIMB_04913a+1569537364.jpg,1.96,Cerebratulus
Cerebratulus albifrons,939050,Cerebratulus albifrons,species,Animalia,25888,Cerebratulus,6,NA,NA,NA
Cerebratulus californiensis,293183,Cerebratulus californiensis,species,Animalia,25888,Cerebratulus,19,CMBIA/00363Cerebratulus_californiensisB_VRR+1324594918.jpg,1.333,Cerebratulus californiensis
Cerebratulus lineolatus,966378,Cerebratulus lineolatus,species,Animalia,25888,Cerebratulus,1,NA,NA,NA
Cerebratulus marginatus,25889,Cerebratulus marginatus,species,Animalia,25888,Cerebratulus,6,NA,NA,NA
Cerebratulus montgomeryi,939051,Cerebratulus montgomeryi,species,Animalia,25888,Cerebratulus,1,NA,NA,NA
Cerithideopsis californica,893608,Cerithideopsis californica,species,Animalia,657556,Cerithideopsis,12,"DISA/6177_2017_02_07_16_03_43_[B,Radius8,Smoothing4]+1486512232.jpg",1.499,Cerithideopsis californica
Cerithiopsis,276043,Cerithiopsis,genus,Animalia,964,Cerithiopsidae,112,HABFA/ZMBN_131472_v+1572371088.JPG,1.499,Cerithiopsis
Chaetoderma pacificum,981328,Chaetoderma pacificum,species,Animalia,2036,Chaetoderma,1,NA,NA,NA
Chaetopterus variopedatus,104907,Chaetopterus variopedatus,species,Animalia,24832,Chaetopterus,27,KBPOL/11BIOAK-1581+1305788502.JPG,1.499,Chaetopterus variopedatus
Chaetozone,190362,Chaetozone,genus,Animalia,83730,Cirratulidae,690,CMBIA/00160Chaetozone_hartmanaeMixedVRR+1321990472.jpg,1.333,Chaetozone
Chaetozone acuta,809281,Chaetozone acuta,species,Animalia,190362,Chaetozone,4,BHAK/dHAK_05323a+1517658410.jpg,1.275,Chaetozone acuta
Chaetozone columbiana,370435,Chaetozone columbiana,species,Animalia,190362,Chaetozone,1,CMBIA/00158Chaetozone_columbianaMixedVRR+1321990468.jpg,1.333,Chaetozone columbiana
Chaetozone corona,370436,Chaetozone corona,species,Animalia,190362,Chaetozone,1,CMBIA/00159Chaetozone_coronaMixedVRR+1321990470.jpg,1.333,Chaetozone corona
Chaetozone hartmanae,299367,Chaetozone hartmanae,species,Animalia,190362,Chaetozone,8,CMBIA/00160Chaetozone_hartmanaeMixedVRR+1321990472.jpg,1.333,Chaetozone hartmanae
Chaetozone setosa,190363,Chaetozone setosa,species,Animalia,190362,Chaetozone,51,WSPO/ws0276+1265136208.JPG,1.333,Chaetozone setosa
Chelura terebrans,371000,Chelura terebrans,species,Animalia,370999,Chelura,4,NA,NA,NA
Chelyosoma columbianum,981080,Chelyosoma columbianum,species,Animalia,3981,Chelyosoma,1,BHAK/dHAKB_00641a+1582146178.jpg,1.461,Chelyosoma columbianum
Chiridota,84382,Chiridota,genus,Animalia,84381,Chiridotidae,252,DSPEC/Huntsman_08_281+1225916768.jpg,1.818,Chiridota
Chirimia biceps,516098,Chirimia biceps,species,Animalia,516097,Chirimia,29,CHONE/IMG_8588+1301084202.jpg,1.499,Chirimia biceps
Chlamys,82822,Chlamys,genus,Animalia,950391,Chlamydini,106,AKMOL/11BIOAK-0563+1320079848.JPG,1.379,Chlamys
Chloeia pinnata,370437,Chloeia pinnata,species,Animalia,109613,Chloeia,12,CMBIA/00163Chloeia_pinnataVRR+1321990474.jpg,1.333,Chloeia pinnata
Chondrochelia dubia,981349,Chondrochelia dubia,species,Animalia,747303,Chondrochelia,9,NA,NA,Chondrochelia dubia
Chone magna,929416,Chone magna,species,Animalia,160013,Chone,1,NA,NA,NA
Chrysopetalum occidentale,299374,Chrysopetalum occidentale,species,Animalia,285917,Chrysopetalum,4,CMBIA/DSC_1218+1288127404.jpg,1.194,Chrysopetalum occidentale
Cidarina cidaris,159962,Cidarina cidaris,species,Animalia,159203,Cidarina,9,MXQCS/JLKS-004__014+1214487790.JPG,1.499,Cidarina cidaris
Cingula,361885,Cingula,genus,Animalia,856,Rissoidae,84,NA,NA,NA
Ciona robusta,731547,Ciona robusta,species,Animalia,26211,Ciona,69,ASCMA/ASC181+1452721836.jpg,1.333,Ciona robusta
Cirratulus,195024,Cirratulus,genus,Animalia,83730,Cirratulidae,118,WSPO/ws0230+1265141248.JPG,1.333,Cirratulus
Cirriformia,305068,Cirriformia,genus,Animalia,83730,Cirratulidae,61,HZPLY/BIOUG06646-G06-3+1373928346.jpg,1.333,Cirriformia
Cirrophorus,541662,Cirrophorus,genus,Animalia,122725,Paraonidae,20,HZPLY/BIOUG06647-E04-1+1373415912.jpg,1.236,NA
Cirrophorus branchiatus,674525,Cirrophorus branchiatus,species,Animalia,541662,Cirrophorus,2,NA,NA,NA
Cirrophorus furcatus,541663,Cirrophorus furcatus,species,Animalia,541662,Cirrophorus,3,HZPLY/BIOUG06647-E05-1+1373415978.jpg,1.111,Cirrophorus furcatus
Pectinaria granulata,81189,Pectinaria granulata,species,Animalia,79899,Pectinaria,25,POLNB/ZMBN_98301+1421091322.JPG,1.502,Pectinaria granulata
Clymenella,27309,Clymenella,genus,Animalia,27308,Maldanidae,59,NBPOL/HP_0123+1221060240.JPG,1.499,NA
Clytia,79642,Clytia,genus,Animalia,27175,Campanulariidae,278,CNIDC/H07_Medusa+1414362544.jpg,1.4,Clytia
Coboldus hedgpethi,803401,Coboldus hedgpethi,species,Animalia,803400,Coboldus,1,BHAK/dHAK_07400+1502160418.JPG,1.509,Coboldus hedgpethi
Compsomyax subdiaphana,83703,Compsomyax subdiaphana,species,Animalia,83702,Compsomyax,17,RBCMI/IMG_0635+1396632230.JPG,1.265,Compsomyax subdiaphana
Conopeum,400031,Conopeum,genus,Animalia,33143,Membraniporidae,20,MLMLA/bioug01534-a05+1320254128.JPG,1.333,NA
Cooperella subdiaphana,277727,Cooperella subdiaphana,species,Animalia,277726,Cooperella,2,CMBIA/00324Cooperella_subdiaphanaVRR+1324594872.jpg,1.333,Cooperella subdiaphana
Corymorpha bigelowi,668068,Corymorpha bigelowi,species,Animalia,650425,Corymorpha,25,CNIDC/F12_Medusa+1413921664.jpg,1.4,Corymorpha bigelowi
Corynactis californica,200239,Corynactis californica,species,Animalia,200238,Corynactis,38,CNOI/KFM-28+1257390040.jpg,1.569,Corynactis californica
Cossura,497215,Cossura,genus,Animalia,125439,Cossuridae,75,POLNB/ZMBN_95710+1402938166.jpg,1.333,Cossura
Cossura pygodactylata,955693,Cossura pygodactylata,species,Animalia,497215,Cossura,15,LHABC/BIOUG48554_B08.1+1640372011.jpg,1.502,Cossura pygodactylata
Crangon,5537,Crangon,genus,Animalia,1510,Crangonidae,360,NJCGS/10BIOBC-00793+1288714188.jpg,1.336,Crangon
Crangon alaskensis,8486,Crangon alaskensis,species,Animalia,5537,Crangon,16,CAISN/BIOUG03171-G03+1362362624.jpg,1.333,Crangon alaskensis
Crangon nigromaculata,893614,Crangon nigromaculata,species,Animalia,5537,Crangon,6,DISA/3899_img_017+1486077426.jpg,1.499,Crangon nigromaculata
Crenella decussata,948211,Crenella decussata,species,Animalia,306810,Crenella,6,ICBA/ZMBN_140426+1625758626.jpg,1.333,Crenella decussata
Crepidula,6176,Crepidula,genus,Animalia,1305,Calyptraeidae,645,MXQCS/IMG_8502a+1336749284.jpg,1.499,Crepidula
Crepidula onyx,31493,Crepidula onyx,species,Animalia,6176,Crepidula,75,PMINV/IMG_6236+1604036212.JPG,1.499,Crepidula onyx
Crepipatella lingulata,31468,Crepipatella lingulata,species,Animalia,6227,Crepipatella,121,BCMOL/10BCMOL-00049b+1300905654.JPG,1.455,Crepipatella lingulata
Crucigera,160496,Crucigera,genus,Animalia,109609,Serpulidae,27,BHAK/dHAK_02866a+1518499015.jpg,1.465,NA
Cryptomya californica,799826,Cryptomya californica,species,Animalia,799825,Cryptomya,8,POIMB/dOIMB_01885a+1568828066.jpg,1.628,Cryptomya californica
Cryptonatica affinis,449243,Cryptonatica affinis,species,Animalia,151133,Cryptonatica,37,AKMOL/11BIOAK-0487+1320077686.JPG,1.509,Cryptonatica affinis
Cucumaria,2866,Cucumaria,genus,Animalia,905,Cucumariidae,598,EQCS/IMG_8911+1303334634.JPG,1.499,Cucumaria
Cucumaria piperata,33454,Cucumaria piperata,species,Animalia,2866,Cucumaria,10,EQCS/IMG_8816+1303395328.JPG,1.5,Cucumaria piperata
Cumella,5679,Cumella,genus,Animalia,1684,Nannastacidae,19,CUMNB/UMBergen_NB_cuma63+1359642798.jpg,1.333,Cumella
Cuspidaria parapodema,370501,Cuspidaria parapodema,species,Animalia,2444,Cuspidaria,2,CMBIA/00326Cuspidaria_parapodemaVRR+1324594874.jpg,1.333,Cuspidaria parapodema
Cyathodonta pedroana,1075766,Cyathodonta pedroana,species,Animalia,1075765,Cyathodonta,1,NA,NA,NA
Cyclaspis,5690,Cyclaspis,genus,Animalia,1679,Bodotriidae,17,CUMNB/UMBergen_NB_cuma71+1359642800.jpg,1.333,Cyclaspis
Cyclocardia,194393,Cyclocardia,genus,Animalia,170183,Carditidae,57,LACSA/DNA_trawl_invert_Cyclocardia_affinis_T1-305_plate_2_cell_B7Crop+1287605268.jpg,1.333,Cyclocardia
Cyclocardia crebricostata,893726,Cyclocardia crebricostata,species,Animalia,194393,Cyclocardia,2,ARCMI/BIOUG14667-A11+1414773970.jpg,1.333,Cyclocardia crebricostata
Cyclocardia gouldii,981354,Cyclocardia gouldii,species,Animalia,194393,Cyclocardia,2,NA,NA,NA
Cyclocardia ventricosa,394946,Cyclocardia ventricosa,species,Animalia,194393,Cyclocardia,13,LACSA/DNA_trawl_invert_Cyclocardia_affinis_T1-305_plate_2_cell_B7Crop+1287605268.jpg,1.333,Cyclocardia ventricosa
Cyclopecten,2248,Cyclopecten,genus,Animalia,169741,Propeamussiidae,11,ICBA/ZMBN_140450+1625758626.jpg,1.333,NA
Cylichna,194469,Cylichna,genus,Animalia,194468,Cylichnidae,154,NBC/MMCN_55_Cylichna_alba_shell_apertural+1395493832.jpg,1.331,Cylichna
Cylichna diegensis,299420,Cylichna diegensis,species,Animalia,194469,Cylichna,2,CMBIA/00327Cylichna_diegensisVRR+1324594874.jpg,1.333,Cylichna diegensis
Cymatioa electilis,1057276,Cymatioa electilis,species,Animalia,1057275,Cymatioa,13,NA,NA,NA
Dasybranchus,187329,Dasybranchus,genus,Animalia,122706,Capitellidae,16,POLNB/UMBergen_NB_polych560+1399050902.JPG,1.499,NA
Decamastus gracilis,205783,Decamastus gracilis,species,Animalia,205782,Decamastus,16,CMBIA/00170Decamastus_gracilisMixedVRR+1321995532.jpg,1.333,Decamastus gracilis
Deflexilodes norvegicus,299397,Deflexilodes norvegicus,species,Animalia,299396,Deflexilodes,3,CMBIA/IMGP7943+1280185086.jpg,1.778,Deflexilodes norvegicus
Deilocerus,323188,Deilocerus,genus,Animalia,323184,Cyclodorippinae,1,NA,NA,NA
Deilocerus planus,1075768,Deilocerus planus,species,Animalia,323188,Deilocerus,1,NA,NA,NA
Delectopecten vancouverensis,799832,Delectopecten vancouverensis,species,Animalia,223199,Delectopecten,2,OOBKJ/IMG_4163+1549551166.JPG,1.499,Delectopecten vancouverensis
Dendraster,160337,Dendraster,genus,Animalia,160336,Dendrasteridae,44,DSPEC/IMG_0964+1225416240.JPG,1.231,Dendraster
Dendraster excentricus,160338,Dendraster excentricus,species,Animalia,160337,Dendraster,37,DSPEC/IMG_0964+1225416240.JPG,1.231,Dendraster excentricus
Dendronotus,5953,Dendronotus,genus,Animalia,1839,Dendronotidae,503,RBCMI/ccdb-22758-h03+1401459414.jpg,1.333,Dendronotus
Diaphana californica,722700,Diaphana californica,species,Animalia,164983,Diaphana,3,RBCMI/DSC_2511+1443642278.JPG,1.499,Diaphana californica
Diaphorodoris lirulatocauda,507883,Diaphorodoris lirulatocauda,species,Animalia,266299,Diaphorodoris,4,BHAK/dHAK_06784a+1518030860.jpg,1.509,Diaphorodoris lirulatocauda
Diastylis,5675,Diastylis,genus,Animalia,1682,Diastylidae,207,CUMNB/UMBergen_NB_cuma73+1359642802.jpg,1.333,Diastylis
Diastylis californica,1075769,Diastylis californica,species,Animalia,5675,Diastylis,2,NA,NA,NA
Diastylis crenellata,32461,Diastylis crenellata,species,Animalia,5675,Diastylis,5,CMBIA/00115Diasylopsis_tenuisWScaleVRR+1321990428.jpg,1.333,Diastylis crenellata
Diastylis pellucida,370394,Diastylis pellucida,species,Animalia,5675,Diastylis,3,LHABC/CCDB31224_F01.2+1632763155.JPG,1.499,Diastylis pellucida
Diastylis sentosa,996401,Diastylis sentosa,species,Animalia,5675,Diastylis,5,LHABC/CCDB31224_C07.2+1632338583.JPG,1.499,Diastylis sentosa
Diastylopsis tenuis,299390,Diastylopsis tenuis,species,Animalia,5673,Diastylopsis,3,CMBIA/IMGP7926Corr+1282762312.jpg,1.416,Diastylopsis tenuis
Diopatra,79670,Diopatra,genus,Animalia,214468,Onuphinae,393,MIWAP/UMBergen_MBOWA_onup28+1366135930.jpg,1.499,Diopatra
Diopatra ornata,370440,Diopatra ornata,species,Animalia,79670,Diopatra,15,BHAK/dHAKB-01627a+1598295090.jpg,1.441,Diopatra ornata
Diplocirrus,256920,Diplocirrus,genus,Animalia,125434,Flabelligeridae,63,POLNB/UMBergen_NB_polych192+1391722952.jpg,1.499,Diplocirrus
Diplodonta,901236,Diplodonta,genus,Animalia,533191,Ungulinidae,2,NA,NA,NA
Dipolydora,370441,Dipolydora,genus,Animalia,32473,Spionidae,98,BHAK/BHAK-2363_B2+1569446600.jpg,1.325,Dipolydora
Dipolydora bidentata,370442,Dipolydora bidentata,species,Animalia,370441,Dipolydora,9,CMBIA/00173Dipolydora_bidentataDorsalVRRAnterior_bWScale+1321995536.jpg,1.333,Dipolydora bidentata
Dipolydora caulleryi,955703,Dipolydora caulleryi,species,Animalia,370441,Dipolydora,8,BBPS/dFHL_14489a+1585410126.jpg,1.471,Dipolydora caulleryi
Dipolydora socialis,370443,Dipolydora socialis,species,Animalia,370441,Dipolydora,7,CMBIA/00174Dipolydora_socialisDorsalWScaleVRR+1321995538.jpg,1.333,Dipolydora socialis
Disporella,247905,Disporella,genus,Animalia,247904,Lichenoporidae,22,BHAK/DSC_6201+1632259654.JPG,1.5,Disporella
Dodecaceria concharum,152842,Dodecaceria concharum,species,Animalia,83731,Dodecaceria,29,POLNB/ZMBN_104690+1431535874.jpg,1.502,Dodecaceria concharum
Dodecaceria fewkesi,160498,Dodecaceria fewkesi,species,Animalia,83731,Dodecaceria,21,HZPLY/BIOUG06646-H01+1373328062.jpg,1.432,Dodecaceria fewkesi
Dorvillea,79664,Dorvillea,genus,Animalia,79663,Dorvilleidae,81,POLNB/_93A6509+1431102672.jpg,1.499,Dorvillea
Schistomeringos annulata,955730,Schistomeringos annulata,species,Animalia,205759,Schistomeringos,4,BBPS/dFHL_14478a+1585410176.jpg,1.902,Schistomeringos annulata
Schistomeringos longicornis,205760,Schistomeringos longicornis,species,Animalia,205759,Schistomeringos,12,BCPOL/BAMPOL0038+1217006242.JPG,1.333,Schistomeringos longicornis
Doto,212387,Doto,genus,Animalia,266260,Dotidae,249,BNAGB/MT09696+1411403630.jpg,1.333,Doto
Doto columbiana,507568,Doto columbiana,species,Animalia,212387,Doto,4,BHAK/dHAK_05363a+1517743812.jpg,1.608,Doto columbiana
Doto kya,808602,Doto kya,species,Animalia,212387,Doto,7,POIMB/dOIMB_01441a+1568661744.jpg,1.711,Doto kya
Dougaloplus,218865,Dougaloplus,genus,Animalia,80325,Amphiuridae,8,NA,NA,NA
Dougaloplus amphacanthus,218867,Dougaloplus amphacanthus,species,Animalia,218865,Dougaloplus,5,NA,NA,NA
Drilonereis,81499,Drilonereis,genus,Animalia,81498,Oenonidae,19,HZPLY/bioug03501-f01+1351869256.jpg,1.333,Drilonereis
Drilonereis filum,529977,Drilonereis filum,species,Animalia,81499,Drilonereis,5,HZPLY/bioug03501-f01+1351869256.jpg,1.333,Drilonereis filum
Drilonereis longa,81500,Drilonereis longa,species,Animalia,81499,Drilonereis,5,NA,NA,Drilonereis longa
Dromalia alexandri,293170,Dromalia alexandri,species,Animalia,293169,Dromalia,2,LACSA/DNA_trawl_invert_Dromalia_alexandri_plate_1_cell_G7+1281013842.jpg,1.333,Dromalia alexandri
Eclysippe trilobata,1075772,Eclysippe trilobata,species,Animalia,164397,Eclysippe,4,NA,NA,NA
Ectopleura crocea,642110,Ectopleura crocea,species,Animalia,516111,Ectopleura,39,CNIDC/E05_Cerinula+1395706804.jpg,1.4,Ectopleura crocea
Edotia,111723,Edotia,genus,Animalia,1612,Idoteidae,31,CMBIA/IMGP7939+1280248030.jpg,0.769,NA
Edotia sublittoralis,299395,Edotia sublittoralis,species,Animalia,111723,Edotia,2,CMBIA/IMGP7939+1280248030.jpg,0.769,Edotia sublittoralis
Edwardsia juliae,807873,Edwardsia juliae,species,Animalia,592472,Edwardsia,1,NA,NA,NA
Elasmopus,267164,Elasmopus,genus,Animalia,469353,Maeridae,125,DISA/6110_DISCO6110_Dorsal+1485299890.jpg,1.499,Elasmopus
Elasmopus bampo,1075773,Elasmopus bampo,species,Animalia,267164,Elasmopus,1,NA,NA,NA
Elthusa vulgaris,104999,Elthusa vulgaris,species,Animalia,104998,Elthusa,9,CMBIA/IMGP8019+1279571676.jpg,1.557,Elthusa vulgaris
Emerita analoga,503268,Emerita analoga,species,Animalia,173252,Emerita,1762,ZPC/bioug01207-f04+1386171344.jpg,1.333,Emerita analoga
Enchiridium punctatum,1075774,Enchiridium punctatum,species,Animalia,149516,Enchiridium,1,NA,NA,NA
Ennucula tenuis,154208,Ennucula tenuis,species,Animalia,154207,Ennucula,102,ARMOL/11ARMOL-00015+1335235692.JPG,1.425,Ennucula tenuis
Ensis myrae,1075775,Ensis myrae,species,Animalia,326828,Ensis,1,NA,NA,NA
Entodesma navicula,600781,Entodesma navicula,species,Animalia,387495,Entodesma,3,RBCMI/IMG_0711+1396633906.JPG,1.531,Entodesma navicula
Eobrolgus,803358,Eobrolgus,genus,Animalia,178055,Phoxocephalidae,11,BHAK/dHAK_06354a+1517882194.jpg,1.429,Eobrolgus
Eobrolgus chumashi,803359,Eobrolgus chumashi,species,Animalia,803358,Eobrolgus,6,BHAK/dHAK_06354a+1517882194.jpg,1.429,Eobrolgus chumashi
Eochelidium,1148012,Eochelidium,genus,Animalia,1607,Oedicerotidae,3,NA,NA,NA
Ephesiella brevicapitis,370445,Ephesiella brevicapitis,species,Animalia,370444,Ephesiella,1,NA,NA,NA
Epitonium,2641,Epitonium,genus,Animalia,820,Epitoniidae,48,CMBIA/00329Epitonium_sawinaeMoreSharpVRR+1324594876.jpg,1.333,Epitonium
Epitonium sawinae,370502,Epitonium sawinae,species,Animalia,2641,Epitonium,9,CMBIA/00329Epitonium_sawinaeMoreSharpVRR+1324594876.jpg,1.333,Epitonium sawinae
Eranno,1075776,Eranno,genus,Animalia,82852,Lumbrineridae,3,NA,NA,NA
Eranno bicirrata,1075777,Eranno bicirrata,species,Animalia,1075776,Eranno,3,NA,NA,Eranno bicirrata
Ericerodes hemphillii,1075778,Ericerodes hemphillii,species,Animalia,321935,Ericerodes,1,NA,NA,NA
Ericthonius,4704,Ericthonius,genus,Animalia,455773,Ischyrocerinae,117,NBAMP/HA_0205+1221143522.JPG,1.5,Ericthonius
Ericthonius brasiliensis,668749,Ericthonius brasiliensis,species,Animalia,4704,Ericthonius,33,DISMA/DISCO3463_lat_18Xmagnification_2017_08_15+1502820278.jpg,1.783,Ericthonius brasiliensis
Ericthonius rubricornis,808520,Ericthonius rubricornis,species,Animalia,4704,Ericthonius,7,ATCAR/HMSC174_00454+1690308677.jpg,1.333,Ericthonius rubricornis
Eteone,190324,Eteone,genus,Animalia,214498,Eteoninae,270,CCANN/08PROBE_0053+1219772334.JPG,1.499,Eteone
Eteone californica,996318,Eteone californica,species,Animalia,190324,Eteone,12,NA,NA,Eteone californica
Eteone pacifica,801770,Eteone pacifica,species,Animalia,190324,Eteone,12,BHAK/BHAK-0441+1549036938.jpg,1.325,Eteone pacifica
Eualus,5583,Eualus,genus,Animalia,1517,Hippolytidae,302,KBINV/BIOUG02301-E10+1336054294.JPG,1.499,Eualus
Eualus subtilis,808512,Eualus subtilis,species,Animalia,5583,Eualus,12,BBPS/dFHL_13064a+1585355004.jpg,1.419,Eualus subtilis
Euchone,266392,Euchone,genus,Animalia,100787,Sabellinae,41,POLNB/ZMBN_108069_1+1518197310.JPG,1.499,Euchone
Euchone incolor,1263367,Euchone incolor,species,Animalia,266392,Euchone,5,NA,NA,Euchone incolor
