objectid,siteid,estuaryname,stationno,samplecollectiondate,surveytype,netreplicate,scientificname,commonname,identificationnotes,abundance,abundancenotes,globalid,created_user,created_date,last_edited_user,last_edited_date,login_email,login_agency,warnings,submissionid,status,projectid,method
2268,SC-BAT,Batiquitos Lagoon,2,15/10/2022 00:00:00,beach seine,9,Syngnathus leptorhynchus,bay pipefish,,-88,marked for present/absent,{6496551D-1A0B-451B-8540-BC3D917710E2},checker,1/2/2023 1:44,checker,1/2/2023 1:44,sebastian.garcia@student.csulb.edu,CSULB,,1675215841,native,EMPA,PA
2269,SC-BAT,Batiquitos Lagoon,2,15/10/2022 00:00:00,beach seine,9,Clevelandia ios,arrow goby,,-88,marked for present/absent,{FFA2911D-E7FA-4B26-AA38-4806BA3CC51E},checker,1/2/2023 1:44,checker,1/2/2023 1:44,sebastian.garcia@student.csulb.edu,CSULB,,1675215841,native,EMPA,PA
2270,SC-BAT,Batiquitos Lagoon,2,15/10/2022 00:00:00,beach seine,9,Hippolyte californiensis,California grass shrimp,,-88,marked for present/absent,{D21B3BEB-25DF-46AA-A0C1-E6B039F69339},checker,1/2/2023 1:44,checker,1/2/2023 1:44,sebastian.garcia@student.csulb.edu,CSULB,,1675215841,,EMPA,PA
2271,SC-BAT,Batiquitos Lagoon,2,15/10/2022 00:00:00,beach seine,9,Atherinops affinis,topsmelt silverside,,-88,marked for present/absent,{98245580-1F60-4588-98ED-8E52295370FB},checker,1/2/2023 1:44,checker,1/2/2023 1:44,sebastian.garcia@student.csulb.edu,CSULB,,1675215841,native,EMPA,PA
2273,SC-BAT,Batiquitos Lagoon,3,15/10/2022 00:00:00,beach seine,1,Xenistius californiensis,Californian salema,,7,,{1174322F-D3D7-476B-8445-BDED982DE907},checker,1/2/2023 1:44,checker,1/2/2023 1:44,sebastian.garcia@student.csulb.edu,CSULB,,1675215841,native,EMPA,count
2275,SC-BAT,Batiquitos Lagoon,3,15/10/2022 00:00:00,beach seine,1,Syngnathus leptorhynchus,bay pipefish,,1,,{E1F790B5-CF48-4094-8CDD-82250B6B2BE1},checker,1/2/2023 1:44,checker,1/2/2023 1:44,sebastian.garcia@student.csulb.edu,CSULB,,1675215841,native,EMPA,count
2276,SC-BAT,Batiquitos Lagoon,3,15/10/2022 00:00:00,beach seine,1,Atherinops affinis,topsmelt silverside,,5,,{3AC443F5-9B4E-4E95-B2AD-A9041C6F65FC},checker,1/2/2023 1:44,checker,1/2/2023 1:44,sebastian.garcia@student.csulb.edu,CSULB,,1675215841,native,EMPA,count
2277,SC-BAT,Batiquitos Lagoon,3,15/10/2022 00:00:00,beach seine,2,Atherinops affinis,topsmelt silverside,,25,,{66F5B236-3DD2-49C9-AF4B-EDB9B5199BEF},checker,1/2/2023 1:44,checker,1/2/2023 1:44,sebastian.garcia@student.csulb.edu,CSULB,,1675215841,native,EMPA,count
2278,SC-BAT,Batiquitos Lagoon,3,15/10/2022 00:00:00,beach seine,2,Syngnathus leptorhynchus,bay pipefish,,12,,{DCDEE478-2D42-4EDE-AFB6-E10B2546088B},checker,1/2/2023 1:44,checker,1/2/2023 1:44,sebastian.garcia@student.csulb.edu,CSULB,,1675215841,native,EMPA,count
2279,SC-BAT,Batiquitos Lagoon,3,15/10/2022 00:00:00,beach seine,2,Hippolyte californiensis,California grass shrimp,,-88,marked for present/absent,{3CB9C078-8B8A-413B-942F-F48947907824},checker,1/2/2023 1:44,checker,1/2/2023 1:44,sebastian.garcia@student.csulb.edu,CSULB,,1675215841,,EMPA,count
2280,SC-BAT,Batiquitos Lagoon,3,15/10/2022 00:00:00,beach seine,2,Xenistius californiensis,Californian salema,,1,,{6E5D9B9B-9FA8-498E-9F5B-9883A19F0FDC},checker,1/2/2023 1:44,checker,1/2/2023 1:44,sebastian.garcia@student.csulb.edu,CSULB,,1675215841,native,EMPA,count
2281,SC-BAT,Batiquitos Lagoon,3,15/10/2022 00:00:00,beach seine,3,Hippolyte californiensis,California grass shrimp,,-88,marked for present/absent,{59CF54E3-5995-4F2D-8413-B60BA22F2F11},checker,1/2/2023 1:44,checker,1/2/2023 1:44,sebastian.garcia@student.csulb.edu,CSULB,,1675215841,,EMPA,count
2283,SC-BAT,Batiquitos Lagoon,3,15/10/2022 00:00:00,beach seine,3,Syngnathus leptorhynchus,bay pipefish,,28,,{32512C8A-E54A-47A9-9D6D-B4FE9CE20F27},checker,1/2/2023 1:44,checker,1/2/2023 1:44,sebastian.garcia@student.csulb.edu,CSULB,,1675215841,native,EMPA,count
2284,SC-BAT,Batiquitos Lagoon,3,15/10/2022 00:00:00,beach seine,3,Atherinops affinis,topsmelt silverside,,50,,{ACBA511F-DE09-4F5E-9844-7E48A77A8FD8},checker,1/2/2023 1:44,checker,1/2/2023 1:44,sebastian.garcia@student.csulb.edu,CSULB,,1675215841,native,EMPA,count
2285,SC-BAT,Batiquitos Lagoon,3,15/10/2022 00:00:00,beach seine,3,Paralabrax clathratus,kelp bass,,1,marked for present/absent,{CABB63AF-061B-4962-880E-6024F06F4B9D},checker,1/2/2023 1:44,checker,1/2/2023 1:44,sebastian.garcia@student.csulb.edu,CSULB,,1675215841,native,EMPA,count
2287,SC-BAT,Batiquitos Lagoon,3,15/10/2022 00:00:00,beach seine,4,Hippolyte californiensis,California grass shrimp,,-88,marked for present/absent,{8ED2D693-EC2F-4474-BD55-982DC3E2C9EC},checker,1/2/2023 1:44,checker,1/2/2023 1:44,sebastian.garcia@student.csulb.edu,CSULB,,1675215841,,EMPA,count
2288,SC-BAT,Batiquitos Lagoon,3,15/10/2022 00:00:00,beach seine,4,Syngnathus leptorhynchus,bay pipefish,,25,,{7E85F422-315A-4E20-BD61-B7993427BFC1},checker,1/2/2023 1:44,checker,1/2/2023 1:44,sebastian.garcia@student.csulb.edu,CSULB,,1675215841,native,EMPA,count
2289,SC-BAT,Batiquitos Lagoon,3,15/10/2022 00:00:00,beach seine,4,Atherinops affinis,topsmelt silverside,,12,,{F89555E5-C449-4A02-9DF1-2E61D4F64E52},checker,1/2/2023 1:44,checker,1/2/2023 1:44,sebastian.garcia@student.csulb.edu,CSULB,,1675215841,native,EMPA,count
2302,SC-BAT,Batiquitos Lagoon,3,15/10/2022 00:00:00,beach seine,7,Hypsoblennius gentilis,bay blenny,,-88,marked for present/absent,{82A6A783-2D44-43C0-9493-AF3E0C4E182C},checker,1/2/2023 1:44,checker,1/2/2023 1:44,sebastian.garcia@student.csulb.edu,CSULB,,1675215841,native,EMPA,PA
2303,SC-BAT,Batiquitos Lagoon,3,15/10/2022 00:00:00,beach seine,7,Hippolyte californiensis,California grass shrimp,,-88,marked for present/absent,{FC846CEB-15B3-4275-A949-AC78C911884B},checker,1/2/2023 1:44,checker,1/2/2023 1:44,sebastian.garcia@student.csulb.edu,CSULB,,1675215841,,EMPA,PA
2304,SC-BAT,Batiquitos Lagoon,3,15/10/2022 00:00:00,beach seine,8,Paralabrax maculatofasciatus,spotted sand bass,,-88,,{B630CDE3-7331-43C7-8453-05CFA01DFB9C},checker,1/2/2023 1:44,checker,1/2/2023 1:44,sebastian.garcia@student.csulb.edu,CSULB,,1675215841,native,EMPA,PA
2305,SC-BAT,Batiquitos Lagoon,3,15/10/2022 00:00:00,beach seine,8,Syngnathus leptorhynchus,bay pipefish,,-88,marked for present/absent,{A16788B6-1B1A-4BC3-A3D7-3B2CE7C3779D},checker,1/2/2023 1:44,checker,1/2/2023 1:44,sebastian.garcia@student.csulb.edu,CSULB,,1675215841,native,EMPA,PA
2306,SC-BAT,Batiquitos Lagoon,3,15/10/2022 00:00:00,beach seine,8,Atherinops affinis,topsmelt silverside,,-88,marked for present/absent,{F2458066-7524-4D3A-B632-09174E04B2EE},checker,1/2/2023 1:44,checker,1/2/2023 1:44,sebastian.garcia@student.csulb.edu,CSULB,,1675215841,native,EMPA,PA
2307,SC-BAT,Batiquitos Lagoon,3,15/10/2022 00:00:00,beach seine,8,Fundulus parvipinnis,California killifish,,-88,marked for present/absent,{6B3BA485-55CF-48B7-A683-E38E465A2C39},checker,1/2/2023 1:44,checker,1/2/2023 1:44,sebastian.garcia@student.csulb.edu,CSULB,,1675215841,native,EMPA,PA
2308,SC-BAT,Batiquitos Lagoon,3,15/10/2022 00:00:00,beach seine,9,Fundulus parvipinnis,California killifish,,-88,marked for present/absent,{9FAC9E15-CFCB-4E46-BC56-5C4B590F3AC4},checker,1/2/2023 1:44,checker,1/2/2023 1:44,sebastian.garcia@student.csulb.edu,CSULB,,1675215841,native,EMPA,PA
2309,SC-BAT,Batiquitos Lagoon,3,15/10/2022 00:00:00,beach seine,9,Atherinops affinis,topsmelt silverside,,-88,marked for present/absent,{4ADD499E-AD91-4554-9439-E15A930D9332},checker,1/2/2023 1:44,checker,1/2/2023 1:44,sebastian.garcia@student.csulb.edu,CSULB,,1675215841,native,EMPA,PA
2311,SC-BAT,Batiquitos Lagoon,1,11/4/2022 0:00,beach seine,1,Syngnathus leptorhynchus,bay pipefish,,9,,{86841C44-DA2E-4447-8FC9-C8435DFE3170},checker,29/3/2023 21:53:04,checker,29/3/2023 21:53:04,sdg6263@gmail.com,CSULB,,1680126784,native,EMPA,count
2312,SC-BAT,Batiquitos Lagoon,1,11/4/2022 0:00,beach seine,1,Atherinops affinis,topsmelt silverside,,170,,{0D200C91-02EB-4330-94D2-DDDBC4910A4A},checker,29/3/2023 21:53:04,checker,29/3/2023 21:53:04,sdg6263@gmail.com,CSULB,,1680126784,native,EMPA,count
2313,SC-BAT,Batiquitos Lagoon,1,11/4/2022 0:00,beach seine,1,Hypsoblennius gentilis,bay blenny,,1,,{16268EEF-54F1-4763-BAFE-A518FDD6870B},checker,29/3/2023 21:53:04,checker,29/3/2023 21:53:04,sdg6263@gmail.com,CSULB,,1680126784,native,EMPA,count
2314,SC-BAT,Batiquitos Lagoon,1,11/4/2022 0:00,beach seine,1,Cymatogaster aggregata,shiner surfperch,,3,,{F5929BF7-7EDE-4713-B105-EE7596F7BFAB},checker,29/3/2023 21:53:04,checker,29/3/2023 21:53:04,sdg6263@gmail.com,CSULB,,1680126784,native,EMPA,count
2316,SC-BAT,Batiquitos Lagoon,1,11/4/2022 0:00,beach seine,1,Hippolyte californiensis,California grass shrimp,,-88,,{2A733BA8-5262-4A03-A7A9-77FCA036A7BD},checker,29/3/2023 21:53:04,checker,29/3/2023 21:53:04,sdg6263@gmail.com,CSULB,,1680126784,,EMPA,count
2317,SC-BAT,Batiquitos Lagoon,1,11/4/2022 0:00,beach seine,2,Bulla gouldiana,bulla snail,,-88,lots,{82422DC0-13FF-49E2-B7C9-AFC561870A8A},checker,29/3/2023 21:53:04,checker,29/3/2023 21:53:04,sdg6263@gmail.com,CSULB,,1680126784,native,EMPA,count
2318,SC-BAT,Batiquitos Lagoon,1,11/4/2022 0:00,beach seine,2,Fundulus parvipinnis,California killifish,,6,,{F944334B-A6ED-4D0D-96C4-0A37F9B0F37C},checker,29/3/2023 21:53:04,checker,29/3/2023 21:53:04,sdg6263@gmail.com,CSULB,,1680126784,native,EMPA,count
2319,SC-BAT,Batiquitos Lagoon,1,11/4/2022 0:00,beach seine,2,Syngnathus leptorhynchus,bay pipefish,,11,,{F2213D05-20F5-4797-BE97-5D1F1E66A917},checker,29/3/2023 21:53:04,checker,29/3/2023 21:53:04,sdg6263@gmail.com,CSULB,,1680126784,native,EMPA,count
2320,SC-BAT,Batiquitos Lagoon,1,11/4/2022 0:00,beach seine,2,Cymatogaster aggregata,shiner surfperch,,2,,{AADB6250-C9AF-4D5F-B366-956C1788E809},checker,29/3/2023 21:53:04,checker,29/3/2023 21:53:04,sdg6263@gmail.com,CSULB,,1680126784,native,EMPA,count
2321,SC-BAT,Batiquitos Lagoon,1,11/4/2022 0:00,beach seine,2,Atherinops affinis,topsmelt silverside,,10,,{A8250EC8-1AF5-4FD8-8CBB-F7A922A0C0CB},checker,29/3/2023 21:53:04,checker,29/3/2023 21:53:04,sdg6263@gmail.com,CSULB,,1680126784,native,EMPA,count
2322,SC-BAT,Batiquitos Lagoon,1,11/4/2022 0:00,beach seine,2,Atherinops californiensis,jack silverside,,1,,{7C221C45-D178-4344-9E39-B0F4C198FD69},checker,29/3/2023 21:53:04,checker,29/3/2023 21:53:04,sdg6263@gmail.com,CSULB,,1680126784,native,EMPA,count
2323,SC-BAT,Batiquitos Lagoon,1,11/4/2022 0:00,beach seine,2,Chlamys rubida,smooth pink scallop,,1,,{BD0C32D7-0190-4F8C-8CA6-366D46F638C2},checker,29/3/2023 21:53:04,checker,29/3/2023 21:53:04,sdg6263@gmail.com,CSULB,,1680126784,native,EMPA,count
2324,SC-BAT,Batiquitos Lagoon,1,11/4/2022 0:00,beach seine,2,Hypsoblennius gentilis,bay blenny,,1,,{195407E9-CBAA-4DAA-A3DC-9FA4759C0E32},checker,29/3/2023 21:53:04,checker,29/3/2023 21:53:04,sdg6263@gmail.com,CSULB,,1680126784,native,EMPA,count
2325,SC-BAT,Batiquitos Lagoon,1,11/4/2022 0:00,beach seine,2,Hippolyte californiensis,California grass shrimp,,-88,,{A83F09A9-CEB7-461B-9E6B-88A461C06679},checker,29/3/2023 21:53:04,checker,29/3/2023 21:53:04,sdg6263@gmail.com,CSULB,,1680126784,,EMPA,count
2326,SC-BAT,Batiquitos Lagoon,1,11/4/2022 0:00,beach seine,3,Chlamys rubida,smooth pink scallop,,-88,,{146D62DF-188F-49FA-AB28-9FDFC4AC126C},checker,29/3/2023 21:53:04,checker,29/3/2023 21:53:04,sdg6263@gmail.com,CSULB,,1680126784,native,EMPA,count
2327,SC-BAT,Batiquitos Lagoon,1,11/4/2022 0:00,beach seine,3,Paralichthys californicus,California halibut,,1,,{EA1B15B9-D24A-4330-B55B-D3171C3A8F2F},checker,29/3/2023 21:53:04,checker,29/3/2023 21:53:04,sdg6263@gmail.com,CSULB,,1680126784,native,EMPA,count
2328,SC-BAT,Batiquitos Lagoon,1,11/4/2022 0:00,beach seine,3,Syngnathus leptorhynchus,bay pipefish,,19,,{A7F10EBF-8096-49EB-BE58-CB8204DDEEEE},checker,29/3/2023 21:53:04,checker,29/3/2023 21:53:04,sdg6263@gmail.com,CSULB,,1680126784,native,EMPA,count
2329,SC-BAT,Batiquitos Lagoon,1,11/4/2022 0:00,beach seine,3,Atherinops affinis,topsmelt silverside,,4,,{F704A7C9-4E7B-4803-96CC-19F107A820AD},checker,29/3/2023 21:53:04,checker,29/3/2023 21:53:04,sdg6263@gmail.com,CSULB,,1680126784,native,EMPA,count
2330,SC-BAT,Batiquitos Lagoon,1,11/4/2022 0:00,beach seine,3,Hypsoblennius gentilis,bay blenny,,9,,{9A2D6C1B-C326-4681-BED1-0382AEF170A5},checker,29/3/2023 21:53:04,checker,29/3/2023 21:53:04,sdg6263@gmail.com,CSULB,,1680126784,native,EMPA,count
2332,SC-BAT,Batiquitos Lagoon,1,11/4/2022 0:00,beach seine,3,Hippolyte californiensis,California grass shrimp,,-88,,{A453B967-78BF-48F6-90EB-783EDCE7E3D0},checker,29/3/2023 21:53:04,checker,29/3/2023 21:53:04,sdg6263@gmail.com,CSULB,,1680126784,,EMPA,count
2333,SC-BAT,Batiquitos Lagoon,1,11/4/2022 0:00,beach seine,3,Bulla gouldiana,bulla snail,,-88,,{FE511290-B856-47EB-B350-25B8C70C576C},checker,29/3/2023 21:53:04,checker,29/3/2023 21:53:04,sdg6263@gmail.com,CSULB,,1680126784,native,EMPA,count
2334,SC-BAT,Batiquitos Lagoon,1,11/4/2022 0:00,beach seine,3,Penaeus californiensis,brown shrimp,,-88,,{5E11D3D6-CFBB-4C5F-A645-9D822D80522B},checker,29/3/2023 21:53:04,checker,29/3/2023 21:53:04,sdg6263@gmail.com,CSULB,,1680126784,,EMPA,count
2335,SC-BAT,Batiquitos Lagoon,1,11/4/2022 0:00,beach seine,4,Syngnathus leptorhynchus,bay pipefish,,13,,{D164BB89-BAB2-446D-8399-25C9A47C3502},checker,29/3/2023 21:53:04,checker,29/3/2023 21:53:04,sdg6263@gmail.com,CSULB,,1680126784,native,EMPA,count
2336,SC-BAT,Batiquitos Lagoon,1,11/4/2022 0:00,beach seine,4,Hypsoblennius gentilis,bay blenny,,1,,{8C09D85B-C3A4-4A6A-A958-EB16D83E41AA},checker,29/3/2023 21:53:04,checker,29/3/2023 21:53:04,sdg6263@gmail.com,CSULB,,1680126784,native,EMPA,count
2337,SC-BAT,Batiquitos Lagoon,1,11/4/2022 0:00,beach seine,4,Atherinops affinis,topsmelt silverside,,1,,{A2FB335C-AEA7-48B0-81ED-7AE469AFE6F5},checker,29/3/2023 21:53:04,checker,29/3/2023 21:53:04,sdg6263@gmail.com,CSULB,,1680126784,native,EMPA,count
2338,SC-BAT,Batiquitos Lagoon,1,11/4/2022 0:00,beach seine,4,Paralichthys californicus,California halibut,,2,,{B7BE517B-630B-444C-A3CF-613B0EA1E4AF},checker,29/3/2023 21:53:04,checker,29/3/2023 21:53:04,sdg6263@gmail.com,CSULB,,1680126784,native,EMPA,count
2339,SC-BAT,Batiquitos Lagoon,1,11/4/2022 0:00,beach seine,4,Bulla gouldiana,bulla snail,,-88,,{9D180C4B-BFD4-4B01-8175-E42B24CB21DB},checker,29/3/2023 21:53:04,checker,29/3/2023 21:53:04,sdg6263@gmail.com,CSULB,,1680126784,native,EMPA,count
2340,SC-BAT,Batiquitos Lagoon,1,11/4/2022 0:00,beach seine,4,Hippolyte californiensis,California grass shrimp,,-88,,{897156EC-7C3A-48DE-8A99-1A173AFEC6D6},checker,29/3/2023 21:53:04,checker,29/3/2023 21:53:04,sdg6263@gmail.com,CSULB,,1680126784,,EMPA,count
2341,SC-BAT,Batiquitos Lagoon,1,11/4/2022 0:00,beach seine,5,Leptocottus armatus,Pacific staghorn sculpin,,2,,{17D122D6-A61D-4668-92BB-92B586B2910F},checker,29/3/2023 21:53:04,checker,29/3/2023 21:53:04,sdg6263@gmail.com,CSULB,,1680126784,native,EMPA,count
2342,SC-BAT,Batiquitos Lagoon,1,11/4/2022 0:00,beach seine,5,Syngnathus leptorhynchus,bay pipefish,,20,,{24E6FB9F-2033-4D2A-8B97-40069507DCAC},checker,29/3/2023 21:53:04,checker,29/3/2023 21:53:04,sdg6263@gmail.com,CSULB,,1680126784,native,EMPA,count
2343,SC-BAT,Batiquitos Lagoon,1,11/4/2022 0:00,beach seine,5,Atherinops affinis,topsmelt silverside,,67,,{D7FD827D-1B59-45AC-9477-62992AF2A84D},checker,29/3/2023 21:53:04,checker,29/3/2023 21:53:04,sdg6263@gmail.com,CSULB,,1680126784,native,EMPA,count
2344,SC-BAT,Batiquitos Lagoon,1,11/4/2022 0:00,beach seine,5,Paralichthys californicus,California halibut,,1,,{D8A3ECF8-D66A-42A1-8162-A79668834240},checker,29/3/2023 21:53:04,checker,29/3/2023 21:53:04,sdg6263@gmail.com,CSULB,,1680126784,native,EMPA,count
2345,SC-BAT,Batiquitos Lagoon,1,11/4/2022 0:00,beach seine,5,Atherinops californiensis,jack silverside,,1,,{80C4BD9A-1DA2-4630-9AA7-C9449A719172},checker,29/3/2023 21:53:04,checker,29/3/2023 21:53:04,sdg6263@gmail.com,CSULB,,1680126784,native,EMPA,count
2346,SC-BAT,Batiquitos Lagoon,1,11/4/2022 0:00,beach seine,5,Hypsoblennius gentilis,bay blenny,,1,,{157D6BEA-E68D-4CE6-AF33-7D57B5BE9736},checker,29/3/2023 21:53:04,checker,29/3/2023 21:53:04,sdg6263@gmail.com,CSULB,,1680126784,native,EMPA,count
2348,SC-BAT,Batiquitos Lagoon,1,11/4/2022 0:00,beach seine,5,Hippolyte californiensis,California grass shrimp,,-88,,{62350748-C292-4FB1-84AB-097A6AA0B0EB},checker,29/3/2023 21:53:04,checker,29/3/2023 21:53:04,sdg6263@gmail.com,CSULB,,1680126784,,EMPA,count
2351,SC-BAT,Batiquitos Lagoon,1,11/4/2022 0:00,beach seine,6,Hypsoblennius gentilis,bay blenny,,-88,marked for present/absent,{1995A5AF-EDA0-44DB-AEB0-D12126E2B5D1},checker,29/3/2023 21:53:04,checker,29/3/2023 21:53:04,sdg6263@gmail.com,CSULB,,1680126784,native,EMPA,PA
2352,SC-BAT,Batiquitos Lagoon,1,11/4/2022 0:00,beach seine,6,Leptocottus armatus,Pacific staghorn sculpin,,-88,marked for present/absent,{FA923FA4-9D5D-4455-84FC-754B958106AE},checker,29/3/2023 21:53:04,checker,29/3/2023 21:53:04,sdg6263@gmail.com,CSULB,,1680126784,native,EMPA,PA
2353,SC-BAT,Batiquitos Lagoon,1,11/4/2022 0:00,beach seine,6,Clevelandia ios,arrow goby,,-88,,{16AB5E04-4B62-4E39-92AF-5A3892100A8C},checker,29/3/2023 21:53:04,checker,29/3/2023 21:53:04,sdg6263@gmail.com,CSULB,,1680126784,native,EMPA,PA
2354,SC-BAT,Batiquitos Lagoon,1,11/4/2022 0:00,beach seine,6,Hypsopsetta guttulata,diamond turbot,,-88,,{A2483140-A544-4429-8009-74D5897A839F},checker,29/3/2023 21:53:04,checker,29/3/2023 21:53:04,sdg6263@gmail.com,CSULB,,1680126784,native,EMPA,PA
2355,SC-BAT,Batiquitos Lagoon,1,11/4/2022 0:00,beach seine,6,Paralichthys californicus,California halibut,,-88,marked for present/absent,{26E0A270-4381-4954-B004-8CC114954EB5},checker,29/3/2023 21:53:04,checker,29/3/2023 21:53:04,sdg6263@gmail.com,CSULB,,1680126784,native,EMPA,PA
2356,SC-BAT,Batiquitos Lagoon,1,11/4/2022 0:00,beach seine,6,Syngnathus leptorhynchus,bay pipefish,,-88,marked for present/absent,{DD7EF482-C189-4B02-911F-D61B9959BABE},checker,29/3/2023 21:53:04,checker,29/3/2023 21:53:04,sdg6263@gmail.com,CSULB,,1680126784,native,EMPA,PA
2359,SC-BAT,Batiquitos Lagoon,1,11/4/2022 0:00,beach seine,7,Leptocottus armatus,Pacific staghorn sculpin,,-88,marked for present/absent,{E3A042C0-7913-4D55-B09A-4463B5E8324F},checker,29/3/2023 21:53:04,checker,29/3/2023 21:53:04,sdg6263@gmail.com,CSULB,,1680126784,native,EMPA,PA
2360,SC-BAT,Batiquitos Lagoon,1,11/4/2022 0:00,beach seine,7,Atherinops affinis,topsmelt silverside,,-88,marked for present/absent,{8283A9A4-7E05-4899-B726-4CC2ADBD8891},checker,29/3/2023 21:53:04,checker,29/3/2023 21:53:04,sdg6263@gmail.com,CSULB,,1680126784,native,EMPA,PA
2361,SC-BAT,Batiquitos Lagoon,1,11/4/2022 0:00,beach seine,7,Hypsoblennius gentilis,bay blenny,,-88,marked for present/absent,{5ECA52D6-DD1F-4B4E-B96F-B06F58E1BDD9},checker,29/3/2023 21:53:04,checker,29/3/2023 21:53:04,sdg6263@gmail.com,CSULB,,1680126784,native,EMPA,PA
2362,SC-BAT,Batiquitos Lagoon,1,11/4/2022 0:00,beach seine,7,Clevelandia ios,arrow goby,,-88,marked for present/absent,{64667EE2-6BD5-4BA1-BAC7-64A885EB3AE3},checker,29/3/2023 21:53:04,checker,29/3/2023 21:53:04,sdg6263@gmail.com,CSULB,,1680126784,native,EMPA,PA
2363,SC-BAT,Batiquitos Lagoon,1,11/4/2022 0:00,beach seine,7,Hypsopsetta guttulata,diamond turbot,,-88,marked for present/absent,{B68BB993-A9E4-4063-9490-D1AB728E85D6},checker,29/3/2023 21:53:04,checker,29/3/2023 21:53:04,sdg6263@gmail.com,CSULB,,1680126784,native,EMPA,PA
2364,SC-BAT,Batiquitos Lagoon,1,11/4/2022 0:00,beach seine,7,Syngnathus leptorhynchus,bay pipefish,,-88,marked for present/absent,{F403B85F-D834-4FD3-BB64-7B8050B46306},checker,29/3/2023 21:53:04,checker,29/3/2023 21:53:04,sdg6263@gmail.com,CSULB,,1680126784,native,EMPA,PA
2365,SC-BAT,Batiquitos Lagoon,1,11/4/2022 0:00,beach seine,8,Paralichthys californicus,California halibut,,-88,marked for present/absent,{401D98E9-0279-4C55-891D-017BAB85519F},checker,29/3/2023 21:53:04,checker,29/3/2023 21:53:04,sdg6263@gmail.com,CSULB,,1680126784,native,EMPA,PA
2366,SC-BAT,Batiquitos Lagoon,1,11/4/2022 0:00,beach seine,8,Leptocottus armatus,Pacific staghorn sculpin,,-88,marked for present/absent,{870AFD60-3DFD-4338-A1AD-B8B0621BB6A1},checker,29/3/2023 21:53:04,checker,29/3/2023 21:53:04,sdg6263@gmail.com,CSULB,,1680126784,native,EMPA,PA
2367,SC-BAT,Batiquitos Lagoon,1,11/4/2022 0:00,beach seine,8,Syngnathus leptorhynchus,bay pipefish,,-88,marked for present/absent,{384E8B39-C6D6-4ECF-B38E-4A9F149B3F9B},checker,29/3/2023 21:53:04,checker,29/3/2023 21:53:04,sdg6263@gmail.com,CSULB,,1680126784,native,EMPA,PA
2368,SC-BAT,Batiquitos Lagoon,1,11/4/2022 0:00,beach seine,8,Atherinops affinis,topsmelt silverside,,-88,marked for present/absent,{A43CFAE0-3A2D-499B-9AD0-4B3CEB01DD24},checker,29/3/2023 21:53:04,checker,29/3/2023 21:53:04,sdg6263@gmail.com,CSULB,,1680126784,native,EMPA,PA
2369,SC-BAT,Batiquitos Lagoon,1,11/4/2022 0:00,beach seine,8,Clevelandia ios,arrow goby,,-88,marked for present/absent,{4F685D16-3FEA-4533-B930-D28DCA11286E},checker,29/3/2023 21:53:04,checker,29/3/2023 21:53:04,sdg6263@gmail.com,CSULB,,1680126784,native,EMPA,PA
2370,SC-BAT,Batiquitos Lagoon,1,11/4/2022 0:00,beach seine,8,Hypsopsetta guttulata,diamond turbot,,-88,marked for present/absent,{4C224F86-4F68-4129-B86B-65246C4347BB},checker,29/3/2023 21:53:04,checker,29/3/2023 21:53:04,sdg6263@gmail.com,CSULB,,1680126784,native,EMPA,PA
2371,SC-BAT,Batiquitos Lagoon,1,11/4/2022 0:00,beach seine,8,Hypsoblennius gentilis,bay blenny,,-88,marked for present/absent,{AAA3D1E9-8EB6-4D07-A6EE-93B0FEBB1F4B},checker,29/3/2023 21:53:04,checker,29/3/2023 21:53:04,sdg6263@gmail.com,CSULB,,1680126784,native,EMPA,PA
2372,SC-BAT,Batiquitos Lagoon,1,11/4/2022 0:00,beach seine,8,Bulla gouldiana,bulla snail,,-88,marked for present/absent,{DD6ED02C-D5F0-450E-9CB9-31C8FB7883A6},checker,29/3/2023 21:53:04,checker,29/3/2023 21:53:04,sdg6263@gmail.com,CSULB,,1680126784,native,EMPA,PA
2373,SC-BAT,Batiquitos Lagoon,1,11/4/2022 0:00,beach seine,9,Fundulus parvipinnis,California killifish,,-88,marked for present/absent,{1B5490A8-0BAD-4FF0-9B43-A19AFDC0E4DB},checker,29/3/2023 21:53:04,checker,29/3/2023 21:53:04,sdg6263@gmail.com,CSULB,,1680126784,native,EMPA,PA
2374,SC-BAT,Batiquitos Lagoon,1,11/4/2022 0:00,beach seine,9,Syngnathus leptorhynchus,bay pipefish,,-88,marked for present/absent,{2EB50804-A55C-4102-9642-C912B94DB8D3},checker,29/3/2023 21:53:04,checker,29/3/2023 21:53:04,sdg6263@gmail.com,CSULB,,1680126784,native,EMPA,PA
2375,SC-BAT,Batiquitos Lagoon,1,11/4/2022 0:00,beach seine,9,Atherinops affinis,topsmelt silverside,,-88,marked for present/absent,{A1497CAB-F52B-4C90-AD3D-2B6BFC0F462B},checker,29/3/2023 21:53:04,checker,29/3/2023 21:53:04,sdg6263@gmail.com,CSULB,,1680126784,native,EMPA,PA
2376,SC-BAT,Batiquitos Lagoon,1,11/4/2022 0:00,beach seine,9,Clevelandia ios,arrow goby,,-88,marked for present/absent,{C44D2E69-A93F-4ABE-8034-D03A80880D22},checker,29/3/2023 21:53:04,checker,29/3/2023 21:53:04,sdg6263@gmail.com,CSULB,,1680126784,native,EMPA,PA
